Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
2,10:11,1,10,CHI 25,7,0,David Montgomery left end for -2 yards (tackle by Dre Greenlaw),0.610,-0.210
2,9:32,2,12,CHI 23,7,0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown (defended by Charvarius Ward),-0.210,-0.890
2,9:28,3,12,CHI 23,7,0,Justin Fields pass complete short left to David Montgomery for 5 yards (tackle by Nick Bosa),-0.890,-1.500
2,8:56,4,7,CHI 28,7,0,"Trenton Gill punts 55 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Matthew Adams)",-1.500,-0.540
2,8:43,1,10,SFO 24,7,0,Jeff Wilson right guard for 5 yards (tackle by Nicholas Morrow),0.540,0.670
2,8:08,2,5,SFO 29,7,0,Deebo Samuel right end for 2 yards (tackle by Kyler Gordon),0.670,0.230
2,7:28,3,3,SFO 31,7,0,"Trey Lance pass complete short left to Brandon Aiyuk for no gain (tackle by Jaylon Johnson). Penalty on Brandon Aiyuk: Offensive Pass Interference, 10 yards (accepted) (no play)",0.230,-1.090
2,7:02,3,13,SFO 21,7,0,Trey Lance right guard for 13 yards (tackle by Dominique Robinson and Eddie Jackson),-1.090,1.200
2,6:11,1,10,SFO 34,7,0,Jeff Wilson right tackle for 1 yard (tackle by Trevis Gipson and Roquan Smith),1.200,0.790
2,5:34,2,9,SFO 35,7,0,Trey Lance pass incomplete short left intended for Deebo Samuel (defended by Trevis Gipson),0.790,0.100
2,5:28,3,9,SFO 35,7,0,Trey Lance pass complete short right to Jeff Wilson for 6 yards (tackle by Nicholas Morrow),0.100,-0.650
2,4:52,4,3,SFO 41,7,0,Mitch Wishnowsky punts 35 yards downed by George Odum,-0.650,-0.540
2,4:42,1,10,CHI 24,7,0,Justin Fields scrambles left end for 8 yards (tackle by Fred Warner),0.540,1.080
2,4:16,2,2,CHI 32,7,0,Justin Fields left tackle for 3 yards (tackle by Drake Jackson),1.080,1.270
2,3:36,1,10,CHI 35,7,0,"Justin Fields pass incomplete. Penalty on Kevin Givens: Defensive Offside, 5 yards (accepted) (no play)",1.270,2.000
2,3:35,1,5,CHI 40,7,0,Khalil Herbert right guard for 1 yard (tackle by Talanoa Hufanga),2.000,1.530
2,2:58,2,4,CHI 41,7,0,Justin Fields pass incomplete short right intended for Cole Kmet,1.530,0.830
2,2:54,3,4,CHI 41,7,0,Khalil Herbert right guard for 12 yards (tackle by Talanoa Hufanga),0.830,2.460
2,2:15,1,10,SFO 47,7,0,Khalil Herbert right tackle for 2 yards (tackle by Talanoa Hufanga and Nick Bosa),2.460,2.180
2,2:00,2,8,SFO 45,7,0,Justin Fields left end for 12 yards (tackle by Fred Warner),2.180,3.380
2,1:18,1,10,SFO 33,7,0,Justin Fields scrambles right end for 3 yards (tackle by Hassan Ridgeway),3.380,3.240
2,1:06,2,7,SFO 30,7,0,David Montgomery right tackle for 1 yard (tackle by Nick Bosa),3.240,2.680
2,0:38,,,,,,Timeout #1 by Chicago Bears,,
2,0:38,3,6,SFO 29,7,0,Justin Fields pass incomplete deep right intended for Byron Pringle,2.680,1.520
2,0:32,4,6,SFO 29,7,0,"Penalty on Trenton Gill: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",1.520,0.330
2,0:32,4,21,SFO 44,7,0,"Trenton Gill punts 35 yards, fair catch by Ray-Ray McCloud at SF-9",0.330,0.380
2,0:25,1,10,SFO 9,7,0,Deebo Samuel left tackle for 27 yards (tackle by Kyler Gordon),-0.380,1.330
2,0:18,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:18,1,10,SFO 36,7,0,Trey Lance pass complete short right to Jauan Jennings for -2 yards (tackle by Kyler Gordon),1.330,0.520
2,0:10,2,12,SFO 34,7,0,Trey Lance pass complete short middle to Tyler Kroft for 9 yards (tackle by Roquan Smith),0.520,1.030
2,0:04,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:04,3,3,SFO 43,7,0,Trey Lance pass incomplete short left intended for Deebo Samuel,1.030,-0.520
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,7,0,Deebo Samuel left end for 11 yards (tackle by Jaquan Brisker and Jaylon Johnson),0.610,1.330
3,14:13,1,10,SFO 36,7,0,Trey Lance pass incomplete short left intended for Deebo Samuel,1.330,0.790
3,14:06,2,10,SFO 36,7,0,Jeff Wilson right end for 4 yards (tackle by Eddie Jackson),0.790,0.630
3,13:28,3,6,SFO 40,7,0,Trey Lance pass complete deep left to Jauan Jennings for 44 yards (tackle by Kyler Gordon),0.630,4.510
3,12:50,1,10,CHI 16,7,0,Trey Lance right end for 6 yards (tackle by Kyler Gordon),4.510,4.970
3,12:03,2,4,CHI 10,7,0,Jeff Wilson right end for 2 yards (tackle by Matthew Adams),4.970,4.620
3,11:20,3,2,CHI 8,7,0,Trey Lance left guard for 3 yards (tackle by Roquan Smith),4.620,6.060
3,10:37,1,5,CHI 5,7,0,Jeff Wilson right guard for 3 yards (tackle by Roquan Smith),6.060,5.720
3,10:01,2,2,CHI 2,7,0,Jeff Wilson left tackle for -2 yards (tackle by Jaquan Brisker),5.720,4.490
3,9:11,3,4,CHI 4,7,0,Trey Lance sacked by and Dominique Robinson for -3 yards and Roquan Smith for -3 yards,4.490,2.970
3,8:26,4,7,CHI 7,10,0,Robbie Gould 25 yard field goal good,2.970,3.000
3,8:22,,,SFO 35,10,0,"Robbie Gould kicks off 67 yards, returned by Trestan Ebner for 30 yards (tackle by Jordan Mason)",0.000,0.810
3,8:14,1,10,CHI 28,10,0,David Montgomery right tackle for 3 yards (tackle by Charvarius Ward),0.810,0.670
3,7:38,2,7,CHI 31,10,0,Justin Fields pass complete short middle to David Montgomery for 3 yards (tackle by Talanoa Hufanga and Azeez Al-Shaair),0.670,0.370
3,6:52,3,4,CHI 34,10,0,"David Montgomery left guard for no gain (tackle by Tashaun Gipson). Penalty on Dre Greenlaw: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.370,2.190
3,6:23,1,10,CHI 49,10,0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,2.190,1.650
3,6:19,2,10,CHI 49,10,0,David Montgomery right guard for no gain (tackle by Talanoa Hufanga),1.650,0.960
3,5:45,3,10,CHI 49,10,6,"Justin Fields pass complete deep right to Dante Pettis for 51 yards, touchdown",0.960,7.000
3,5:32,,,SFO 15,10,7,Cairo Santos kicks extra point good,0.000,0.000
3,5:32,,,CHI 35,10,7,"Cairo Santos kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Jaylon Jones)",0.000,0.280
3,5:27,1,10,SFO 20,10,7,Jeff Wilson right guard for 4 yards (tackle by Nicholas Morrow),0.280,0.270
3,4:43,2,6,SFO 24,10,7,Deebo Samuel left end for 1 yard (tackle by Al-Quadin Muhammad),0.270,-0.300
3,4:00,3,5,SFO 25,10,7,Trey Lance pass complete short middle to Jauan Jennings for 7 yards (tackle by Kyler Gordon),-0.300,1.070
3,3:21,1,10,SFO 32,10,7,Jeff Wilson right guard for 1 yard (tackle by Armon Watts and Nicholas Morrow),1.070,0.660
3,2:36,2,9,SFO 33,10,7,"Trey Lance pass incomplete short right. Penalty on Jake Brendel: Ineligible Downfield Pass, 5 yards (declined)",0.660,-0.030
3,2:31,3,9,SFO 33,10,7,Trey Lance scrambles left end for 8 yards (tackle by Roquan Smith),-0.030,-0.650
3,1:44,4,1,SFO 41,10,7,"Mitch Wishnowsky punts 43 yards, fair catch by Dante Pettis at CHI-16",-0.650,0.140
3,1:37,1,10,CHI 16,10,7,Justin Fields pass complete deep right to Byron Pringle for 22 yards,-0.140,1.470
3,1:04,1,10,CHI 38,10,7,Justin Fields pass incomplete deep left intended for Ryan Griffin,1.470,0.920
3,0:58,2,10,CHI 38,10,7,David Montgomery left guard for 1 yard (tackle by Fred Warner),0.920,0.370
3,0:14,3,9,CHI 39,10,7,Justin Fields scrambles right end for 5 yards (tackle by Dre Greenlaw),0.370,0.000
3,0:14,,,CHI 0,10,7,"Penalty on Charvarius Ward: Defensive Holding, 5 yards (accepted)",0.000,2.190
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 49,10,7,David Montgomery left end for 6 yards (tackle by Hassan Ridgeway),2.190,2.460
4,14:19,2,4,SFO 45,10,7,David Montgomery left guard for 3 yards (tackle by Azeez Al-Shaair and Hassan Ridgeway),2.460,2.150
4,13:37,3,1,SFO 42,10,7,"Justin Fields right end for 1 yard (tackle by Azeez Al-Shaair). Penalty on Azeez Al-Shaair: Personal Foul / Defense, 15 yards (accepted)",2.150,3.840
4,13:18,1,10,SFO 26,10,7,Justin Fields pass incomplete deep right intended for Darnell Mooney,3.840,3.300
4,13:14,2,10,SFO 26,10,7,Justin Fields pass complete short left to Darnell Mooney for 8 yards (tackle by Emmanuel Moseley),3.300,3.750
4,12:46,3,2,SFO 18,10,13,"Justin Fields pass complete deep middle to Equanimeous St. Brown for 18 yards, touchdown",3.750,7.000
4,12:45,,,SFO 15,10,13,Cairo Santos kicks extra point no good,0.000,-1.000
4,12:45,,,CHI 35,10,13,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,12:45,1,10,SFO 25,10,13,Trey Lance pass incomplete short right,0.610,0.060
4,12:40,,,,,,Timeout #1 by San Francisco 49ers,,
4,12:40,2,10,SFO 25,10,13,"Trey Lance pass incomplete short left intended for Jauan Jennings. Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",0.060,-0.610
4,12:40,2,15,SFO 20,10,13,Trey Lance scrambles right tackle for 5 yards (tackle by Roquan Smith),-0.610,-0.620
4,11:57,3,10,SFO 25,10,13,Trey Lance pass complete short middle to Ross Dwelley for 11 yards (tackle by Roquan Smith),-0.620,1.330
4,11:17,1,10,SFO 36,10,13,Trey Lance scrambles left guard for 1 yard (tackle by Jaquan Brisker),1.330,0.930
4,10:36,2,9,SFO 37,10,13,Jeff Wilson right end for 4 yards (tackle by Dominique Robinson),0.930,0.760
4,9:53,3,5,SFO 41,10,13,Trey Lance pass short middle intended for Jauan Jennings is intercepted by Eddie Jackson at SF-47 and returned for 26 yards (tackle by Trey Lance),0.760,-4.170
4,9:42,1,10,SFO 21,10,13,Khalil Herbert left guard for 10 yards (tackle by Tashaun Gipson),4.170,4.840
4,9:04,1,10,SFO 11,10,13,Justin Fields left guard for -1 yards (tackle by Talanoa Hufanga),4.840,3.860
4,8:16,2,12,SFO 12,10,13,"Khalil Herbert left guard for 5 yards (tackle by Nick Bosa). Penalty on Javon Kinlaw: Defensive Holding, 4 yards (accepted)",3.860,6.510
4,8:00,1,3,SFO 3,10,13,Khalil Herbert left tackle for no gain (tackle by Emmanuel Moseley),6.510,5.530
4,7:25,2,3,SFO 3,10,19,"Khalil Herbert right guard for 3 yards, touchdown",5.530,7.000
4,7:21,,,SFO 15,10,19,Cairo Santos kicks extra point no good,0.000,-1.000
4,7:21,,,CHI 35,10,19,"Cairo Santos kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Khalil Herbert). Penalty on Jordan Mason: Defensive Holding, 10 yards (accepted)",0.000,-0.380
4,7:15,1,10,SFO 10,10,19,Trey Lance pass incomplete short middle intended for Deebo Samuel,-0.380,-0.780
4,7:09,2,10,SFO 10,10,19,Trey Lance pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Kindle Vildor),-0.780,-0.370
4,6:34,3,1,SFO 19,10,19,Trey Lance right guard for 3 yards (tackle by Nicholas Morrow),-0.370,0.410
4,6:05,1,10,SFO 22,10,19,Trey Lance pass incomplete deep middle intended for Deebo Samuel (defended by Roquan Smith),0.410,-0.130
4,5:57,2,10,SFO 22,10,19,Trey Lance pass complete short left to Deebo Samuel for 8 yards (tackle by Eddie Jackson and Justin Jones),-0.130,0.230
4,5:24,3,2,SFO 30,10,19,Trey Lance left guard for 3 yards (tackle by Trevis Gipson),0.230,1.140
4,4:56,1,10,SFO 33,10,19,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",1.140,0.810
4,4:56,1,15,SFO 28,10,19,Trey Lance pass complete short right to Jauan Jennings for 13 yards (tackle by Kindle Vildor),0.810,1.670
4,4:34,2,2,SFO 41,10,19,Trey Lance scrambles for 3 yards (tackle by Nicholas Morrow),1.670,1.860
4,4:17,1,10,SFO 44,10,19,Trey Lance pass incomplete short right intended for Ross Dwelley,1.860,1.320
4,4:12,2,10,SFO 44,10,19,Trey Lance pass complete short right to Jeff Wilson for 2 yards (tackle by Dominique Robinson),1.320,0.890
4,3:49,3,8,SFO 46,10,19,Trey Lance pass incomplete short middle intended for Ray-Ray McCloud,0.890,-0.320
4,3:43,4,8,SFO 46,10,19,Trey Lance pass incomplete short right intended for Kyle Juszczyk,-0.320,-2.590
4,3:38,1,10,SFO 45,10,19,David Montgomery left guard for 1 yard (tackle by Charvarius Ward and Azeez Al-Shaair),2.590,2.250
4,3:32,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:32,2,8,SFO 44,10,19,David Montgomery right guard for -2 yards (tackle by Arik Armstead),2.250,1.290
4,3:05,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:05,3,10,SFO 46,10,19,David Montgomery left end for 1 yard (tackle by Azeez Al-Shaair),1.290,0.270
4,2:37,4,9,SFO 45,10,19,"Penalty on CHI: Delay of Game, 5 yards (declined) (no play)",0.270,0.270
4,2:37,4,9,SFO 45,10,19,"Trenton Gill punts 45 yards, touchback.",0.270,-0.280
4,2:29,1,10,SFO 20,10,19,Trey Lance pass incomplete short left intended for Kyle Juszczyk,0.280,-0.270
4,2:24,2,10,SFO 20,10,19,"Trey Lance aborted snap, recovered by Trey Lance at SF-20 and returned for -5 yards Trey Lance for no gain (tackle by Dominique Robinson)",-0.270,-0.960
4,2:00,3,10,SFO 20,10,19,Trey Lance left guard for 1 yard (tackle by Dominique Robinson and Robert Quinn),-0.960,-1.960
4,1:36,4,9,SFO 21,10,19,Trey Lance pass incomplete deep middle intended for Brandon Aiyuk,-1.960,-4.240
4,1:29,1,10,SFO 20,10,19,Justin Fields kneels for no gain,4.240,3.760
4,0:42,2,9,SFO 20,10,19,Justin Fields kneels for -1 yards,3.760,2.940
4,0:33,3,10,SFO 21,10,19,Justin Fields kneels for -1 yards,2.940,1.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
